┌────────────┬───────┬───────┐
│    DATE    │ TIME  │ SCORE │
├────────────┼───────┼───────┤
│ 2024-02-27 │       │   9   │
├────────────┼───────┼───────┤
| 2024-03-04 | 2024-03-04 20:02:45.266851 |  3  |
| 2024-03-04 | 20:04 |   6   |
| 2024-03-04 | 20:06 |   8   |
| 2024-03-04 | 20:08 |   15  |
| 2024-03-04 | 20:49 |   06  |
| 2024-03-04 | 20:51 |   07  |
| 2024-03-04 | 20:53 |   08  |
|------------|-------|-------|
| 2024-03-05 | 18:20 |   05  |
|------------|-------|-------|
| 2024-03-05 | 18:24 |   07  |
|------------|-------|-------|
| 2024-03-05 | 19:17 |   08  |
|------------|-------|-------|
| 2024-03-05 | 19:18 |   08  |
|------------|-------|-------|
| 2024-03-05 | 19:19 |   06  |
|------------|-------|-------|
| 2024-03-05 | 19:20 |   05  |
|------------|-------|-------|
| 2024-03-24 | 15:19 |   04  |
|------------|-------|-------|
| 2024-03-24 | 15:20 |   07  |
|------------|-------|-------|
| 2024-03-24 | 15:20 |   08  |
|------------|-------|-------|
| 2024-04-03 | 11:02 |   04  |
|------------|-------|-------|
| 2024-04-06 | 12:05 |   04  |
|------------|-------|-------|
| 2024-04-06 | 14:34 |   02  |
|------------|-------|-------|
| 2024-04-06 | 14:35 |   05  |
|------------|-------|-------|
| 2024-04-06 | 14:35 |   07  |
|------------|-------|-------|
| 2024-04-06 | 14:53 |   07  |
|------------|-------|-------|
| 2024-04-06 | 14:54 |   08  |
|------------|-------|-------|
| 2024-04-06 | 14:55 |   01  |
|------------|-------|-------|
| 2024-04-06 | 14:55 |   06  |
|------------|-------|-------|
| 2024-04-06 | 14:56 |   08  |
|------------|-------|-------|
| 2024-04-06 | 14:57 |   05  |
|------------|-------|-------|
| 2024-04-09 | 17:57 |   06  |
|------------|-------|-------|
| 2024-04-09 | 17:58 |   06  |
|------------|-------|-------|
| 2024-04-09 | 17:58 |   06  |
|------------|-------|-------|
| 2024-04-09 | 17:59 |   06  |
|------------|-------|-------|
| 2024-04-09 | 18:00 |   08  |
|------------|-------|-------|
| 2024-04-10 | 09:37 |   06  |
|------------|-------|-------|
| 2024-04-10 | 09:39 |   07  |
|------------|-------|-------|
| 2024-04-10 | 11:54 |   06  |
|------------|-------|-------|
| 2024-04-11 | 09:06 |   03  |
|------------|-------|-------|
| 2024-04-11 | 09:07 |   06  |
|------------|-------|-------|
| 2024-04-11 | 09:08 |   06  |
|------------|-------|-------|
| 2024-04-14 | 11:23 |   08  |
|------------|-------|-------|
